,name,genre,author,status,alt_title,views,score,nb_votes
99,It Rains on Precious Days,Drama-Romance-Sliceoflife,"
Updating ",Ongoing,"Taisetsu na Hi wa Itsumo Ame, 大切な日はいつも雨, 重要的日子總是雨",362.8K,4.39,72
100,From a Knight to a Lady,Fantasy-Historical-Romance-Shoujo-Webtoons-Manhwa,"
Song Hye-Rim ",Ongoing,How the Knight Lives as a Lady ; How to Live as a Lady (Ink.) ; La forma en que el caballero vive como una dama ; The Way That Knight Lives as a Lady ; 重生骑士的名媛生活 ; 騎士女爵的生存之道 ; 그 기사가 레이디로 사는 법,11.5M,3.8,679
101,Revenge Queen,Fantasy-Josei-Romance,"
Bao Qing Manhua - 是荔之啊 - 杜了了 ",Ongoing,快穿女配冷静点,1.2M,4.53,152
102,Wu Dong Qian Kun,Action-Adventure-Fantasy-Martialarts-Shounen-Supernatural,"
Tang Jia San Shao ",Ongoing,Martial Movement Upheaval (English); 武动乾坤 (Chinese); Vũ Động Càn Khôn ; Võ Động Càn Khôn (Vietnamese - Tiếng Việt - TV),69.8M,"rate :
4.68/
5",5
103,Wu Dong Qian Kun,Action-Adventure-Fantasy-Martialarts-Shounen-Supernatural,"
Tang Jia San Shao ",Ongoing,Martial Movement Upheaval (English); 武动乾坤 (Chinese); Vũ Động Càn Khôn ; Võ Động Càn Khôn (Vietnamese - Tiếng Việt - TV),69.8M,"rate :
4.68/
5",5
104,Till The End Of The Moon,Fantasy-Historical-Romance,"
Teng Luo Wei Zhi ",Ongoing,Black Moonlight Holds the BE Script / 黑月光拿稳be剧本,36.5K,4.36,14
105,The Exiled Reincarnated Heavy Knight Is Unrivaled in Game Knowledge,Action-Adventure-Fantasy-Isekai,"
Nekoko. - Brocco Lee ",Ongoing,Tsuihou Sareta Tenshou Juu Kishi wa Game Chishiki de Musou Suru ; 大ハズレだと追放された転生重騎士はゲーム知識で無双する,29.1M,"rate :
4.66/
5",5
106,Solid State,Scifi,"
Scott Higginbotham ",Ongoing,Solid State,5.7K,3.4,5
107,"I, The Invincible Villain Master With My Apprentices",Action-Drama-Fantasy-Martialarts-Shounen-Isekai,"
Sf Light Novels - 宁谖 ",Ongoing,反派师尊的我带着徒弟们天下无敌 ; Fǎnpài Shī Zūn De Wǒ Dàizhe Túdìmen Tiānxià Wúdí ; Fanpai Shi Zun De Wo Daizhe Tudimen Tianxia Wudi ; My Villainous Master Brings Along the Peerless Apprentices,12M,4.35,1034
108,My Disciples Are All Big Villains,Action-Drama-Fantasy-Manhua,"
【月天】 ",Ongoing,My Apprentices Are All Great Villains ; My Disciples Are All Big Villains ; My Disciples Are All Villains ; Wǒ De Túdì Dōu Shì Dà Fǎnpài ; 我的徒弟都是大反派,10.7M,"rate :
4.77/
5",5
109,This World is Money and Power,Action-Drama-Schoollife-Shounen-Manhwa,"
Han Dong Woo ",Ongoing,The World is Money and Power ; 세상은 돈과 권력,2.9M,4.41,155
110,Half Ghost,Romance-Schoollife-Supernatural,"
Saejung ",Ongoing,반귀,1.8M,4.69,214
111,Half Ghost,Romance-Schoollife-Supernatural,"
Saejung ",Ongoing,반귀,1.8M,4.69,214
112,Half Ghost,Romance-Schoollife-Supernatural,"
Saejung ",Ongoing,반귀,1.8M,4.69,214
113,Fork & Knife,Action-Fantasy-Shounen,"
Sambak ",Ongoing,포크&나이프,46.2K,4.72,50
114,To the Stars I Love,Drama-Romance-Shoujo-Supernatural,"
Gonarija ",Ongoing,Dear Actresses ; 恋する女優たち ; 사랑하는 여배우들,94.4K,3.91,11
